 gdp_for_year ($) ,HDI for year,age,country,country-year,gdp_per_capita ($),generation,population,sex,suicides/100k pop,suicides_no,year
"2,156,624,900",,15-24 years,Albania,Albania1987,796.0,Generation X,312900.0,male,6.71,21.0,1987
"2,156,624,900",,35-54 years,Albania,Albania1987,796.0,Silent,308000.0,male,5.19,16.0,1987
"2,156,624,900",,15-24 years,Albania,Albania1987,796.0,Generation X,289700.0,female,4.83,14.0,1987
"2,156,624,900",,75+ years,Albania,Albania1987,796.0,G.I. Generation,21800.0,male,4.59,1.0,1987
"2,156,624,900",,25-34 years,Albania,Albania1987,796.0,Boomers,274300.0,male,3.28,9.0,1987
"2,156,624,900",,75+ years,Albania,Albania1987,796.0,G.I. Generation,35600.0,female,2.81,1.0,1987
"2,156,624,900",,35-54 years,Albania,Albania1987,796.0,Silent,278800.0,female,2.15,6.0,1987
"2,156,624,900",,25-34 years,Albania,Albania1987,796.0,Boomers,257200.0,female,1.56,4.0,1987
"2,156,624,900",,55-74 years,Albania,Albania1987,796.0,G.I. Generation,137500.0,male,0.73,1.0,1987
"2,156,624,900",,5-14 years,Albania,Albania1987,796.0,Generation X,311000.0,female,0.0,0.0,1987
"2,156,624,900",,55-74 years,Albania,Albania1987,796.0,G.I. Generation,144600.0,female,0.0,0.0,1987
"2,156,624,900",,5-14 years,Albania,Albania1987,796.0,Generation X,338200.0,male,0.0,0.0,1987
"2,126,000,000",,75+ years,Albania,Albania1988,769.0,G.I. Generation,36400.0,female,5.49,2.0,1988
"2,126,000,000",,15-24 years,Albania,Albania1988,769.0,Generation X,319200.0,male,5.33,17.0,1988
"2,126,000,000",,75+ years,Albania,Albania1988,769.0,G.I. Generation,22300.0,male,4.48,1.0,1988
"2,126,000,000",,35-54 years,Albania,Albania1988,769.0,Silent,314100.0,male,4.46,14.0,1988
"2,126,000,000",,55-74 years,Albania,Albania1988,769.0,G.I. Generation,140200.0,male,2.85,4.0,1988
"2,126,000,000",,15-24 years,Albania,Albania1988,769.0,Generation X,295600.0,female,2.71,8.0,1988
"2,126,000,000",,55-74 years,Albania,Albania1988,769.0,G.I. Generation,147500.0,female,2.03,3.0,1988
"2,126,000,000",,25-34 years,Albania,Albania1988,769.0,Boomers,262400.0,female,1.91,5.0,1988
"2,126,000,000",,25-34 years,Albania,Albania1988,769.0,Boomers,279900.0,male,1.79,5.0,1988
"2,126,000,000",,35-54 years,Albania,Albania1988,769.0,Silent,284500.0,female,1.41,4.0,1988
"2,126,000,000",,5-14 years,Albania,Albania1988,769.0,Generation X,317200.0,female,0.0,0.0,1988
"2,126,000,000",,5-14 years,Albania,Albania1988,769.0,Generation X,345000.0,male,0.0,0.0,1988
"2,335,124,988",,75+ years,Albania,Albania1989,833.0,G.I. Generation,22500.0,male,8.89,2.0,1989
"2,335,124,988",,25-34 years,Albania,Albania1989,833.0,Boomers,283600.0,male,6.35,18.0,1989
"2,335,124,988",,35-54 years,Albania,Albania1989,833.0,Silent,318400.0,male,4.71,15.0,1989
"2,335,124,988",,55-74 years,Albania,Albania1989,833.0,G.I. Generation,142100.0,male,4.22,6.0,1989
"2,335,124,988",,15-24 years,Albania,Albania1989,833.0,Generation X,323500.0,male,3.71,12.0,1989
"2,335,124,988",,35-54 years,Albania,Albania1989,833.0,Silent,288600.0,female,2.43,7.0,1989
"2,335,124,988",,15-24 years,Albania,Albania1989,833.0,Generation X,299900.0,female,1.67,5.0,1989
"2,335,124,988",,25-34 years,Albania,Albania1989,833.0,Boomers,266300.0,female,0.75,2.0,1989
"2,335,124,988",,55-74 years,Albania,Albania1989,833.0,G.I. Generation,149600.0,female,0.67,1.0,1989
"2,335,124,988",,5-14 years,Albania,Albania1989,833.0,Generation X,321900.0,female,0.0,0.0,1989
"2,335,124,988",,75+ years,Albania,Albania1989,833.0,G.I. Generation,37000.0,female,0.0,0.0,1989
"2,335,124,988",,5-14 years,Albania,Albania1989,833.0,Generation X,349700.0,male,0.0,0.0,1989
"709,452,584",,35-54 years,Albania,Albania1992,251.0,Boomers,343800.0,male,3.49,12.0,1992
"709,452,584",,15-24 years,Albania,Albania1992,251.0,Generation X,263700.0,male,3.41,9.0,1992
"709,452,584",,55-74 years,Albania,Albania1992,251.0,Silent,159500.0,male,3.13,5.0,1992
"709,452,584",,25-34 years,Albania,Albania1992,251.0,Boomers,245500.0,male,2.85,7.0,1992
"709,452,584",,15-24 years,Albania,Albania1992,251.0,Generation X,292400.0,female,2.39,7.0,1992
"709,452,584",,25-34 years,Albania,Albania1992,251.0,Boomers,267400.0,female,1.5,4.0,1992
"709,452,584",,35-54 years,Albania,Albania1992,251.0,Boomers,323100.0,female,0.62,2.0,1992
"709,452,584",,55-74 years,Albania,Albania1992,251.0,Silent,164900.0,female,0.61,1.0,1992
"709,452,584",,5-14 years,Albania,Albania1992,251.0,Millenials,336700.0,female,0.0,0.0,1992
"709,452,584",,75+ years,Albania,Albania1992,251.0,G.I. Generation,38700.0,female,0.0,0.0,1992
"709,452,584",,5-14 years,Albania,Albania1992,251.0,Millenials,362900.0,male,0.0,0.0,1992
